dropoff_longitude,dropoff_latitude,week_day,passenger_count
-74.015,40.703,0,25.5
-74.015,40.703,1,33.0
-74.015,40.703,2,28.75
-74.015,40.703,3,29.0
-74.015,40.703,4,28.5
-74.015,40.703,5,32.916666666666664
-74.015,40.703,6,23.583333333333332
-74.015,40.704,0,21.583333333333332
-74.015,40.704,1,21.75
-74.015,40.704,2,21.75
-74.015,40.704,3,22.0
-74.015,40.704,4,22.0
-74.015,40.704,5,29.416666666666668
-74.015,40.704,6,19.25
-74.015,40.705,0,123.16666666666667
-74.015,40.705,1,138.83333333333334
-74.015,40.705,2,131.5
-74.015,40.705,3,133.83333333333334
-74.015,40.705,4,124.91666666666667
-74.015,40.705,5,117.08333333333333
-74.015,40.705,6,95.0
-74.015,40.706,0,22.5
-74.015,40.706,1,20.0
-74.015,40.706,2,17.75
-74.015,40.706,3,16.5
-74.015,40.706,4,17.75
-74.015,40.706,5,18.833333333333332
-74.015,40.706,6,16.583333333333332
-74.015,40.707,0,11.083333333333334
-74.015,40.707,1,10.666666666666666
-74.015,40.707,2,13.083333333333334
-74.015,40.707,3,10.166666666666666
-74.015,40.707,4,9.333333333333334
-74.015,40.707,5,15.333333333333334
-74.015,40.707,6,14.083333333333334
-74.015,40.708,0,93.41666666666667
-74.015,40.708,1,90.33333333333333
-74.015,40.708,2,85.91666666666667
-74.015,40.708,3,92.66666666666667
-74.015,40.708,4,100.25
-74.015,40.708,5,139.25
-74.015,40.708,6,131.41666666666666
-74.015,40.709,0,163.66666666666666
-74.015,40.709,1,165.41666666666666
-74.015,40.709,2,155.66666666666666
-74.015,40.709,3,163.91666666666666
-74.015,40.709,4,163.0
-74.015,40.709,5,179.83333333333334
-74.015,40.709,6,196.5
-74.015,40.71,0,267.9166666666667
-74.015,40.71,1,301.5833333333333
-74.015,40.71,2,284.5833333333333
-74.015,40.71,3,319.3333333333333
-74.015,40.71,4,337.5833333333333
-74.015,40.71,5,436.25
-74.015,40.71,6,407.4166666666667
-74.015,40.711,0,497.1666666666667
-74.015,40.711,1,582.8333333333334
-74.015,40.711,2,556.25
-74.015,40.711,3,582.5833333333334
-74.015,40.711,4,493.0
-74.015,40.711,5,382.0
-74.015,40.711,6,292.3333333333333
-74.015,40.712,0,90.16666666666667
-74.015,40.712,1,104.66666666666667
-74.015,40.712,2,105.91666666666667
-74.015,40.712,3,114.75
-74.015,40.712,4,97.16666666666667
-74.015,40.712,5,94.25
-74.015,40.712,6,71.41666666666667
-74.015,40.713,0,18.666666666666668
-74.015,40.713,1,14.083333333333334
-74.015,40.713,2,16.416666666666668
-74.015,40.713,3,19.083333333333332
-74.015,40.713,4,14.5
-74.015,40.713,5,25.416666666666668
-74.015,40.713,6,24.25
-74.015,40.714,0,347.3333333333333
-74.015,40.714,1,408.1666666666667
-74.015,40.714,2,393.9166666666667
-74.015,40.714,3,399.75
-74.015,40.714,4,372.6666666666667
-74.015,40.714,5,347.4166666666667
-74.015,40.714,6,276.1666666666667
-74.015,40.715,0,105.33333333333333
-74.015,40.715,1,114.0
-74.015,40.715,2,110.91666666666667
-74.015,40.715,3,133.08333333333334
